ID;IMO;Navio;Berço;start;end;Natureza;Agência;Sentido
241;9463047;MSC EMMA;BERÇO 218;04/11/2024 09:20;05/11/2024 10:25;Full Conteiner;MSC MEDITERRANEAN SHIPPING COMPANY;Exportação & Importação
242;9727625;CAPE SOUNIO;BERÇO 218;05/11/2024 10:45;06/11/2024 17:15;Full Conteiner;MSC MEDITERRANEAN SHIPPING COMPANY;Exportação & Importação
243;9945851;COSCO SHIPPING URUGUAY;BERÇO 218;06/11/2024 18:10;07/11/2024 19:50;Full Conteiner;COSCO SHIPPING LINES CO LTD;Exportação & Importação
244;9633941;CAP SAN MALEAS;BERÇO 218;08/11/2024 08:21;08/11/2024 21:12;Full Conteiner;GREEN SPANKER SHIPPING S.A;Exportação & Importação
245;9625542;HYUNDAI PARAMOUNT;BERÇO 218;10/11/2024 02:00;10/11/2024 13:20;Full Conteiner;HYUNDAI MERCHANT MARINE;Exportação & Importação
246;9945473;ZIM USA;BERÇO 218;10/11/2024 15:45;11/11/2024 17:10;Full Conteiner;ZIM INTEGRATED SHIPPING SERVICE;Exportação & Importação
247;9458999;BROOKLYN BRIDGE;BERÇO 218;12/11/2024 01:35;12/11/2024 07:41;Full Conteiner;OCEAN NETWORK EXPRESS PTE. LTD;Exportação & Importação
248;9306471;GALLOWAY;BERÇO 218;09/11/2024 06:14;10/11/2024 01:36;Full Conteiner;MAERSK LINE A/S;Exportação & Importação
249;9722663;CMA CGM COLUMBIA;BERÇO 218;12/11/2024 17:40;13/11/2024 18:20;Full Conteiner;CMA-CGM SOCIÉTÉ ANONYME;Exportação & Importação
250;9283215;MONTE ROSA;BERÇO 218;13/11/2024 23:40;14/11/2024 17:22;Full Conteiner;A.P MOLLER SINGAPORE PTE LTD.;Exportação & Importação
251;9793959;KOTA PURI;BERÇO 218;15/11/2024 07:35;15/11/2024 22:45;Full Conteiner;PACIFIC INTERNATIONAL LINES;Exportação & Importação
252;9938377;PRESIDENT LB JOHNSON;BERÇO 218;15/11/2024 23:28;16/11/2024 14:22;Full Conteiner;CMA CGM AGENCES FRANCE SAS / CMA CGM LOGISTICS;Exportação & Importação
253;9309277;MONA LISA;BERÇO 218;16/11/2024 14:40;17/11/2024 09:15;Full Conteiner;HAPAG LLOYD AKTIENGESELLSCHATT;Exportação & Importação
254;9622241;SAN ANTONIO MAERSK;BERÇO 218;18/11/2024 06:25;19/11/2024 00:28;Full Conteiner;MAERSK LINE A/S;Exportação & Importação
255;9786736;SEASPAN OSPREY;BERÇO 218;19/11/2024 01:52;19/11/2024 19:20;Full Conteiner;OCEAN NETWORK EXPRESS PTE. LTD;Exportação & Importação
256;9526899;MAERSK LA PAZ;BERÇO 218;17/11/2024 14:45;18/11/2024 05:25;Full Conteiner;MAERSK SHIPPING HONG KONG LTD.;Exportação & Importação
257;9527051;MAERSK LAMANAI;BERÇO 218;20/11/2024 02:33;21/11/2024 11:27;Full Conteiner;MAERSK SHIPPING HONG KONG LTD.;Exportação & Importação
258;9793947;MSC SIYA B;BERÇO 218;21/11/2024 12:15;22/11/2024 14:55;Full Conteiner;MSC MEDITERRANEAN SHIPPING COMPANY;Exportação & Importação
259;9330719;HYUNDAI UNITY;BERÇO 218;22/11/2024 15:45;23/11/2024 04:50;Full Conteiner;HMM CO., LTD.;Exportação & Importação
260;9720524;MSC CLEA;BERÇO 218;23/11/2024 05:40;24/11/2024 03:50;Full Conteiner;MSC MEDITERRANEAN SHIPPING COMPANY;Exportação & Importação
261;9731951;COSCO SHIPPING RHINE;BERÇO 218;24/11/2024 03:50;24/11/2024 14:50;Full Conteiner;COSCO CHINA OCEAN SHIPPING CO;Exportação & Importação
262;9526930;MAERSK LEBU;BERÇO 218;24/11/2024 15:32;25/11/2024 08:21;Full Conteiner;AP MOLLER MAERSK S.A;Exportação & Importação
263;9314935;AS CAROLINA;BERÇO 218;25/11/2024 08:50;25/11/2024 13:45;Full Conteiner;ZIM INTEGRATED SHIPPING SERVICE;Exportação & Importação
264;9312559;XIN CHANG SHA;BERÇO 218;26/11/2024 10:15;26/11/2024 13:45;Full Conteiner;COSCO CONTAINER LINES;Exportação & Importação
265;9526966;MAERSK LEON;BERÇO 218;27/11/2024 00:48;27/11/2024 22:27;Full Conteiner;A.P MOLLER SINGAPORE PTE LTD.;Exportação & Importação
266;9622227;SAN LORENZO MAERSK;BERÇO 218;28/11/2024 07:13;29/11/2024 07:26;Full Conteiner;MAERSK LINE A/S;Exportação & Importação
267;9622241;SAN ANTONIO MAERSK;BERÇO 218;29/11/2024 07:54;30/11/2024 02:15;Full Conteiner;MAERSK LINE A/S;Exportação & Importação
268;9725134;HYUNDAI JUPITER;BERÇO 218;30/11/2024 02:45;30/11/2024 22:15;Full Conteiner;HMM CO., LTD.;Exportação & Importação
269;9850812;EVER FINE;BERÇO 218;01/12/2024 16:50;02/12/2024 15:10;Full Conteiner;EVERGREEN LINE;Exportação & Importação
270;9622215;SAN MARCO MAERSK;BERÇO 218;02/12/2024 16:50;03/12/2024 11:21;Full Conteiner;MAERSK LINE A/S;Exportação & Importação
271;9793894;SALVADOR EXPRESS;BERÇO 218;01/12/2024 03:30;01/12/2024 13:20;Full Conteiner;HAPAG - LLOYD CONTAINER LINE;Exportação & Importação
272;9398216;MSC ANTONIA;BERÇO 218;03/12/2024 12:55;03/12/2024 23:20;Full Conteiner;MSC MEDITERRANEAN SHIPPING COMPANY;Exportação & Importação
273;9604938;EURASIAN HIGHWAY;BERÇO 219;10/10/2024 22:50;11/10/2024 19:10;RO-RO;KAWASAKI KISEN KAISHA LTD;Exportação & Importação
274;9316141;ARC RESOLVE;BERÇO 219;16/10/2024 02:55;16/10/2024 20:05;RO-RO;WALLENIUS WILHELMSEN LOGISTICS;Exportação & Importação
275;9565546;CHESAPEAKE HIGHWAY;BERÇO 219;18/10/2024 04:40;19/10/2024 05:35;PCC;KAWASAKI KISEN KAISHA LTD;Exportação & Importação
276;9213806;SIRIUS LEADER;BERÇO 219;25/10/2024 23:00;26/10/2024 08:20;PCC;NYK LINE;Exportação & Importação
277;9442885;ADRIATIC HIGHWAY;BERÇO 219;26/10/2024 20:15;27/10/2024 13:10;PCC;KAWASAKI KISEN KAISHA LTD;Exportação & Importação
278;9442885;ADRIATIC HIGHWAY;BERÇO 219;17/11/2024 16:45;18/11/2024 09:40;PCC;KAWASAKI KISEN KAISHA LTD;Exportação & Importação
279;9316141;ARC RESOLVE;BERÇO 219;03/12/2024 05:00;03/12/2024 16:30;RO-RO;WALLENIUS WILHELMSEN LOGISTICS;Exportação & Importação
280;9489900;SERGIO BUARQUE DE HOLANDA;PIÉR PÚBLICO EXTERNO;14/10/2024 02:40;15/10/2024 07:30;Granel Líquido;PETROBRAS TRANSPORTES S/A - TRANSPETRO;Importação
281;9865752;MERSEY;PIÉR PÚBLICO EXTERNO;17/10/2024 23:50;19/10/2024 04:45;Granel Líquido;SHINTOKU PANAMA S.A.;Importação
282;9941300;NORD MARINER;PIÉR PÚBLICO EXTERNO;19/10/2024 07:20;20/10/2024 03:45;Granel Líquido;EVER BRIGHT SHIPPING S.A;Importação
283;9814167;NORD JEWEL;PIÉR PÚBLICO EXTERNO;20/10/2024 06:50;22/10/2024 05:25;Granel Líquido;NORIENT PRODUCT POOL;Importação
284;9555307;SALSA;PIÉR PÚBLICO EXTERNO;24/10/2024 13:00;25/10/2024 19:20;Granel Líquido;SALSA MARINE S.A.;Importação
285;9489900;SERGIO BUARQUE DE HOLANDA;PIÉR PÚBLICO EXTERNO;25/10/2024 21:15;26/10/2024 19:30;Granel Líquido;PETROBRAS TRANSPORTES S/A - TRANSPETRO;Importação
286;9489900;SERGIO BUARQUE DE HOLANDA;PIÉR PÚBLICO EXTERNO;31/10/2024 11:00;01/11/2024 17:50;Granel Líquido;PETROBRAS TRANSPORTES S/A - TRANSPETRO;Importação
287;9301914;PANTERA;PIÉR PÚBLICO EXTERNO;01/11/2024 18:50;03/11/2024 20:05;Granel Líquido;RHINE MARINE SERVICES PVT LTD;Importação
288;9305867;MINERVA RITA;PIÉR PÚBLICO EXTERNO;06/11/2024 13:40;07/11/2024 17:45;Granel Líquido;TRAFIGURA PTE LTD.;Importação
289;9447768;MAERSK MALAGA;PIÉR PÚBLICO EXTERNO;08/11/2024 18:40;09/11/2024 19:20;Granel Líquido;MAERSK TANKERS SINGAPORE PTE;Exportação
290;9489900;SERGIO BUARQUE DE HOLANDA;PIÉR PÚBLICO EXTERNO;09/11/2024 23:20;11/11/2024 01:20;Granel Líquido;PETROBRAS TRANSPORTES S/A - TRANSPETRO;Importação
291;9865776;EDEN;PIÉR PÚBLICO EXTERNO;13/11/2024 11:50;14/11/2024 11:35;Granel Líquido;BANC OF AMERICA LEASING CAPITAL, LLC;Importação
292;9416393;HONESTY;PIÉR PÚBLICO EXTERNO;18/11/2024 21:35;20/11/2024 06:35;Granel Líquido;SEA PIONEER SHIPPING CORP.;Importação
293;9353113;KAVYA;PIÉR PÚBLICO EXTERNO;21/11/2024 17:40;23/11/2024 23:25;Granel Líquido;SPRING MARINE MANAGEMENT SA;Importação
294;9338814;JOYCE;PIÉR PÚBLICO EXTERNO;26/11/2024 01:20;29/11/2024 12:00;Granel Líquido;PRODUCTS TANKERS;Importação
295;9307827;MINERVA VIRGO;PIÉR PÚBLICO EXTERNO;29/11/2024 19:40;01/12/2024 09:35;Granel Líquido;MINERVA MARINE INC.;Importação
296;9555307;SALSA;PIÉR PÚBLICO INTERNO;10/10/2024 15:30;11/10/2024 19:20;Granel Líquido;SALSA MARINE S.A.;Importação
297;9439357;OWL 5;PIÉR PÚBLICO INTERNO;13/10/2024 13:10;14/10/2024 13:20;Granel Líquido;SOKANA SHIPPING & TRADING LTD;Importação
298;9711494;OTHONI;PIÉR PÚBLICO INTERNO;17/10/2024 16:50;18/10/2024 17:20;Granel Líquido;OCM MARITIME LENA LCC;Importação
299;9436343;CUMBIA 1;PIÉR PÚBLICO INTERNO;20/10/2024 09:00;21/10/2024 22:30;Granel Líquido;SCORPIO MR POOL LTD;Importação
300;9301914;PANTERA;PIÉR PÚBLICO INTERNO;24/10/2024 18:10;26/10/2024 20:00;Granel Líquido;RHINE MARINE SERVICES PVT LTD;Importação
301;9332315;MISHELL;PIÉR PÚBLICO INTERNO;27/10/2024 03:35;31/10/2024 03:05;Granel Líquido;Heroic Uranus Inc;Importação
